year,lighting_sales_kwh,power_sales_kwh,total_sales_kwh,lighting_customers,power_customers,total_customers,lighting_nonbusiness_kwh,lighting_business_kwh,lighting_nonbusiness_customers,lighting_business_customers,lighting_avg_price_ntd,power_avg_price_ntd,overall_avg_price_ntd
1951,250405594,704910723,955316317,485410,15051,500461,192657154,57948440,415542,69868,0.3594,0.0871,0.1584
1952,259468670,816554150,1076022820,512442,16304,528746,199256858,60211812,433132,79310,0.3687,0.0873,0.1551
1953,300848597,923978277,1224826874,530157,17649,547806,233457198,67391399,446729,83428,0.4304,0.1128,0.1908
1954,324241555,1078306769,1402548324,580170,21644,601814,244972121,79269434,488579,91591,0.4382,0.1156,0.1902
1955,340488568,1156177647,1496666215,625839,24722,650561,257481686,83006882,528011,97828,0.5853,0.1556,0.2533
1956,381149887,1388758341,1769908228,693371,26623,719994,288535522,92614365,587949,105422,0.6097,0.188,0.2788
1957,434160703,1650263963,2084424666,766597,28364,794961,329178744,104981959,652444,114153,0.6088,0.2188,0.3
1958,479177296,1937192431,2416369727,864067,30146,894213,365809389,113367907,741711,122356,0.6621,0.2397,0.3234
1959,532926106,2236918065,2769844171,958431,32487,990918,409433139,123492967,830394,128037,0.6707,0.2313,0.3158
1960,590413488,2545313773,3135727261,1067233,34764,1101997,463761612,126651876,932532,134701,0.7638,0.3285,0.4104
1961,661883726,2866245693,3528129419,1180902,37101,1218003,531062931,130820795,1035447,145455,0.8067,0.3456,0.4321
1962,737262597,3328222586,4065485183,1289292,41387,1330679,599034582,138228015,1133177,156115,0.8568,0.3661,0.4551
1963,804529768,3562148967,4366678735,1368713,45945,1414658,668099291,136430477,1201991,166722,0.8856,0.3892,0.4807
1964,949493172,4235834024,5185327196,1467047,51675,1518722,796678538,152814634,1289677,177370,0.931,0.3973,0.495
1965,1115478735,4556733639,5672212374,1579994,59047,1639041,945751911,169726824,1387447,192547,0.9108,0.4052,0.5046
1966,1291246693,5189533659,6480780352,1677530,66410,1743940,1107688123,183558570,1471920,205610,0.8838,0.3991,0.4957
1967,1562533393,5907220575,7469753968,1786027,72522,1858549,1352159602,210373791,1569109,216918,0.8629,0.3972,0.4946
1968,1881339727,6880814472,8762154199,1908178,79233,1987411,1630833896,250505831,1675550,232628,0.8636,0.4006,0.5
1969,2266931086,7783822580,10050753666,2048994,86443,2135437,1964667031,302264055,1804647,244347,0.9171,0.426,0.5368
1970,2721757491,9241890066,11963647557,2174439,90983,2265422,2365721689,356035802,1916035,258404,0.9841,0.4412,0.5647
1971,3148102120,10687900138,13836002258,2314103,95830,2409933,2736516305,411585815,2039867,274236,0.9945,0.4415,0.5673
1972,3565670725,12515138166,16080808891,2457102,103300,2560402,3084352087,481318638,2163641,293461,0.9999,0.4394,0.5637
1973,4084310099,13854164084,17938474183,2614139,114988,2729127,3514200267,570109832,2295874,318265,1.0147,0.4464,0.5758
1974,4349843252,14530890985,18880734237,2818005,119693,2937698,3755548783,594294469,2472670,345335,1.1342,1.0006,1.0314
1975,5121568525,16095257296,21216825821,3016754,122846,3139600,4383118216,738450309,2637332,379422,1.1673,1.038,1.0692
1976,5980790088,18763273929,24744064017,3203651,127410,3331061,5072884494,907905594,2794965,408686,1.1785,1.0174,1.0563
1977,6752138886,20855107697,27607246583,3425183,131895,3557078,5680066953,1072071933,2988259,436924,1.4545,1.2199,1.2773
1978,7820569569,24043791998,31864361567,3688534,138120,3826654,6541388823,1279180746,3219017,469517,1.4795,1.2058,1.273
1979,8456154861,26864424466,35320579327,4007124,144925,4152049,7032382997,1423771864,3505877,501247,1.6678,1.3393,1.4179
1980,9131033230,28816051469,37947084699,4431614,148939,4580553,7608987578,1522045652,3902471,529143,2.5012,1.9196,2.0595
1981,9309395774,28138317227,37447713001,4838231,155190,4993421,7715255850,1594139924,4271825,566406,3.4092,2.5163,2.7383
1982,10043789607,28111928399,38155718006,5191855,159660,5351515,8373679458,1670110149,4608014,583841,3.42,2.5181,2.7555
1983,11469747552,30848877081,42318624633,5447847,165361,5613208,9553814284,1915933268,4842763,605084,3.3926,2.4241,2.6866
1984,12089886207,33737071881,45826958088,5693916,172866,5866782,10025353805,2064532402,5071658,622258,3.3446,2.4046,2.6526
1985,12992036253,34927065569,47919101822,5931959,179579,6111538,10785138179,2206898074,5298203,633756,3.2723,2.3557,2.6042
1986,13972749864,39840111849,53812861713,6142550,192706,6335256,11497937465,2474812399,5484207,658343,3.0639,2.1615,2.3958
1987,15535998461,43638753027,59174751488,6335867,210176,6546043,12641077584,2894920877,5655940,679927,2.8797,2.094,2.3003
1988,18197952884,47029774149,65227727033,6544991,220152,6765143,14643057476,3554895408,5841172,703819,2.4102,1.9716,2.094
1989,20042134758,49209674736,69251809494,6775375,225932,7001307,15714411442,4327723316,6050413,724962,2.4332,2.0412,2.1547
1990,22503712103,51841235386,74344947489,6997682,229451,7227133,17355125207,5148586896,6255848,741834,2.4285,2.0486,2.1636
1991,25260194666,55717210636,80977405302,7227024,232711,7459735,19284811408,5975383258,6463765,763259,2.4656,2.0257,2.1629
1992,27249384865,58040968763,85290353628,7462487,236152,7698639,20413597842,6835787023,6678366,784121,2.4686,2.0513,2.1847
1993,30928452889,61156231281,92084684170,7824866,240283,8065149,22997260272,7931192617,7021608,803258,2.5161,2.0315,2.1943
1994,33346978242,65214025998,98561004240,8318624,245208,8563832,24606683497,8740294745,7500817,817807,2.518,2.0149,2.1851
1995,36437177354,68931015992,105368193346,8823909,251472,9075381,26947960945,9489216409,7990567,833342,2.5356,2.001,2.1859
1996,39025613481,72114202949,111139816430,9226788,256596,9483384,29144074781,9881538700,8381514,845274,2.5481,1.9969,2.1905
1997,40061409057,78237637297,118299046354,9558931,262272,9821203,29527892176,10533516881,8683633,875298,2.5421,1.9606,2.1575
1998,45080910890,83048890191,128129801081,9834984,265524,10100508,33254661538,11826249352,8946803,888181,2.583,1.9311,2.1605
1999,44881849043,86844042654,131725891697,10100915,268652,10369567,32789970930,12091878113,9199087,901828,2.5341,1.8865,2.1071
2000,47644777003,94768110050,142412887053,10312034,273521,10585555,34747355534,12897421469,9397836,914198,2.5541,1.8918,2.1133
2001,48816166139,94807413528,143623579667,10469508,276181,10745689,35788414159,13027751980,9546802,922706,2.5699,1.8915,2.1221
2002,50757785618,100434904363,151192689981,10616930,280472,10897402,37257558898,13500226720,9683459,933471,2.5801,1.8491,2.0945
2003,53336479460,106043376007,159379855467,10789959,286957,11076916,39182824357,14153655103,9849111,940848,2.5443,1.8287,2.0682
2004,54184790564,113292979824,167477770388,10980269,293305,11273574,39554594581,14630195983,10051135,929134,2.5319,1.8225,2.052
2005,57645091806,117648278696,175293370502,11198422,298486,11496908,42182405531,15462686275,10259659,938763,2.5283,1.8205,2.0533
2006,57995691172,123597612438,181593303610,11437419,301915,11739334,42288349114,15707342058,10505301,932118,2.5933,1.8753,2.1046
2007,58848337029,128226334996,187074672025,11681055,304183,11985238,42961292493,15887044536,10751775,929280,2.6286,1.928,2.1484
2008,58287554647,128643922164,186931476811,11920303,305558,12225861,42582742113,15704812534,10990405,929898,2.7008,2.1198,2.301
2009,57890396060,121348277090,179238673150,12109721,304958,12414679,43018989660,14871406400,11186023,923698,2.91,2.4625,2.607
2010,59178687281,134134763525,193313450806,12277037,306431,12583468,43395707165,15782980116,11347320,929717,2.9532,2.4583,2.6098
2011,60476428097,138160672447,198637100544,12460593,307451,12768044,44453035314,16023392783,11527529,933064,2.9428,2.45,2.6001
2012,59256452503,139134444798,198390897301,12667708,308913,12976621,43300239137,15956213366,11736985,930723,2.9673,2.6178,2.7222
2013,59415519459,142529356579,201944876038,12873320,310709,13184029,43717462646,15698056813,11934621,938699,3.1165,2.802,2.8945
2014,61376534574,144579420333,205955954907,13077089,312611,13389700,45232903203,16143631371,12127185,949904,3.171,3.0279,3.0705
2015,61189293919,145301971950,206491265869,13298978,314886,13613864,44825724754,16363569165,12333788,965190,3.1012,2.8623,2.9331
2016,63834556919,148696712967,212531269886,13506434,316884,13823318,47115063446,16719493473,12529273,977161,2.7915,2.5405,2.6159
2017,64097497928,153115988028,217213485956,13694205,319123,14013328,47063646137,17033851791,12700528,993677,2.7058,2.4782,2.5454
2018,63467652354,155640352628,219108004982,13879114,320955,14200069,46231783389,17235868965,12870233,1008881,2.754,2.5383,2.6008
2019,63600607566,155126033150,218726640716,14062170,322562,14384732,46195004176,17405603390,13040957,1021213,2.757,2.5624,2.619
2020,66339426021,158473110013,224812536034,14238949,324072,14563021,48574850517,17764575504,13207215,1031734,2.7576,2.532,2.5986
2021,68962969828,166377941713,235340911541,14423469,327069,14750538,51047803021,17915166807,13389021,1034448,2.719,2.5345,2.5885
2022,68189782566,168572937187,236762719753,14602298,332308,14934606,49820653655,18369128911,13562032,1040266,2.7621,2.7095,2.7246
2023,69025530919,164012890622,233038421541,14807424,334943,15142367,50443772840,18581758079,13760167,1047257,2.8301,3.1749,3.0727
2024,71524268452,167537119281,239061387733,15011803,337797,15349600,52268627147,19255641305,13964006,1047797,3.003,3.6874,3.4826
